hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,,ETS,ITS,matK,ndhF,psbA-trnh,rpl16,rpl32-trnl,rps16-trnq,trnl-trnf,,Reference,,campo_rupestre,non_campo_rupestre
Calyptranthes_lucida,Calyptranthes_lucida,Calyptranthes lucida Mart. ex DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164815,,,KU164841,,,KU171287,KU164866,,Amorim et al. in press,,0,1
Calyptranthes_multiflora,Calyptranthes_multiflora,Myrcia aulomyrcioides E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164807,,,KU164833,,,KU171280,KU164858,,Amorim et al. in press,,0,1
Calyptranthes_pallens,Calyptranthes_pallens,Calyptranthes pallens Griseb.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954021,AF368201,MF954445,MF954279,MF954319,,,MF954143,,Amorim et al. in press,,0,1
Calyptranthes_pulchella,Calyptranthes_pulchella,Calyptranthes pulchella DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164808,,,KU164834,,,KU171281,KU164859,,Amorim et al. in press,,1,1
Calyptranthes_restingae,Calyptranthes_restingae,Calyptranthes restingae Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164813,,,KU164839,,,KU171286,KU164864,,Amorim et al. in press,,0,1
Calyptranthes_sintenisii,Calyptranthes_sintenisii,Calyptranthes sintenisii Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164810,,,KU164836,,,KU171283,KU164861,,Amorim et al. in press,,0,1
Calyptranthes_speciosa,Calyptranthes_speciosa,Calyptranthes speciosa Sagot,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164818,,,KU164844,,,KU171289,KU164869,,Amorim et al. in press,,0,1
Calyptranthes_spruceana,Calyptranthes_spruceana,Calyptranthes spruceana O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164799,,,KU164825,,,KU171277,KU164850,,Amorim et al. in press,,0,1
Calyptranthes_thomasiana,Calyptranthes_thomasiana,Calyptranthes thomasiana O.Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489901,AM234106,,KP722434,AM489820,,,KP722211,JN091325,,Amorim et al. in press,,0,1
Calyptranthes_widgreniana,Calyptranthes_widgreniana,Calyptranthes widgreniana O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164806,,,KU164832,,,,KU164857,,Amorim et al. in press,,1,1
Chamguava_schippii,x,Chamguava schippii (Standl.) Landrum,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954027,MF954523,MF954451,MF954285,MF954325,MF954211,MF954091,MF954149,,Amorim et al. in press,,(outgroup),(outgroup)
Eucalyptus_tetragona,x,Eucalyptus tetragona (R. Br.) F. Muell.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489906,AF190364,,,AF190381,,,,,,Amorim et al. in press,,(outgroup),(outgroup)
Luma_apiculata,x,Luma apiculata (DC.) Burret,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660860,JN660910,JN661009,,,JN660959,JN661058,JN661108,,,Amorim et al. in press,,(outgroup),(outgroup)
Luma_apiculata_T,x,Luma apiculata (DC.) Burret [T],(BAMM analysis not performed),(BAMM analysis not performed),,,,AM234101,AM489995,AY498795,AM489843,KX789340,MF954229,KP722209,KP722331,,Amorim et al. in press,,(outgroup),(outgroup)
Luma_chequen,x,Luma chequen (Molina) A. Gray,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660861,JN660911,JN661010,,AM489844,JN660960,JN661059,JN661109,,,Amorim et al. in press,,(outgroup),(outgroup)
M_aff_bergiana_CE_7,Myrcia_aff_bergiana,Myrcia aff. bergiana O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880929*,,,MK157088*,MK174996*,MK182471*,MK202482*,,,Amorim et al. in press,,0,1
M_aff_crocea_SP66,Myrcia_aff_crocea,Myrcia aff. crocea Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,,,,MK157089*,MK174997*,,MK202483*,,,Amorim et al. in press,,0,1
M_aff_glazioviana_MG_981,Myrcia_aff_glazioviana,Myrcia aff. glazioviana Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880930*,,,MK157090*,MK174998*,MK182472*,,,,Amorim et al. in press,,0,1
M_aff_pubescens_DF_121,Myrcia_aff_pubescens,Myrcia aff. pubescens DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880931*,,,,MK175000*,MK182474*,,,,Amorim et al. in press,,1,0
M_amplex_ES_26,Myrcia_amplex,Myrcia amplexicaulis (O. Berg) Hook. f.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880933*,,,MK157092*,MK175002*,MK182476*,,,,Amorim et al. in press,,0,1
M_anacardifolia_942,Myrcia_anacardifolia,Myrcia anacardiifolia Gardner,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091267,JN091212,,KP722419,JN091407,MK175003*,MK182477*,KP722210,JN091341,,Amorim et al. in press,,0,1
M_aurea_ES_625,Myrcia_aurea,Myrcia aurea NicLugh.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880934*,,,MK157093*,MK175005*,,MK202486*,,,Amorim et al. in press,,0,1
M_barituensis_ARG_93,Myrcia_barituensis,Myrcia barituensis (Legname) B. Holst.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880935*,,,MK157094*,MK175006*,MK182479*,MK202487*,,,Amorim et al. in press,,0,1
M_basicordata_BA_59,Myrcia_basicordata,Myrcia pseudospectabilis Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880957*,,,MK157116*,MK175035*,MK182504*,MK202506*,,,Amorim et al. in press,,0,1
M_brasiliensis_197,Myrcia_brasiliensis,Myrcia brasiliensis Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489917,AM234112,AM489988,,AM489835,MK175007*,MK182480*,MK202488*,JN091345,,Amorim et al. in press,,0,1
M_carvalhoi_BA_27,Myrcia_carvalhoi,Myrcia carvalhoi NicLugh.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880936*,,,MK157095*,MK175008*,MK182481*,MK202489*,,,Amorim et al. in press,,0,1
M_cerqueiria_ES_82,Myrcia_cerqueiria,Myrcia cerqueiria (Nied.) E.Lucas & Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880937*,,,MK157096*,MK175009*,MK182482*,MK202490*,,,Amorim et al. in press,,0,1
M_cordiifolia_ES_24,Myrcia_cordiifolia,Myrcia cordiifolia DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880939*,,,MK157098*,MK175011*,MK182484*,,,,Amorim et al. in press,,0,1
M_crocea_ES_32,Myrcia_crocea,Myrcia crocea Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880940*,,,MK157099*,MK175013*,MK182486*,MK202491*,,,Amorim et al. in press,,0,1
M_eriocalyx_MG_19,Myrcia_eriocalyx,Myrcia eriocalyx DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880941*,,,MK157100*,MK175014*,MK182487*,MK202492*,,,Amorim et al. in press,,1,1
M_espiritosantensis_ES_83,Myrcia_espiritosantensis,Myrcia espiritosantensis B.S. Amorim,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880942*,,,MK157101*,MK175016*,,MK202494*,,,Amorim et al. in press,,0,1
M_fenzliana_DF_90,Myrcia_fenzliana,Myrcia fenzliana [DF],(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880943*,,,MK157102*,MK175017*,,MK202495*,,,Amorim et al. in press,,1,1
M_fenzliana_REP_16,x,Myrcia fenzliana [REP],(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880944*,,,MK157103*,MK175018*,MK182488*,MK202496*,,,Amorim et al. in press,,(double entry),(double entry)
M_flagellaris_820,Myrcia_flagellaris,Myrcia flagellaris (D.Legrand) Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489918,AM234113,AM489989,KP722430,AM489836,MK175019*,MK182489*,KP722206,JN091350,,Amorim et al. in press,,0,1
M_grandifolia_RJ_22,Myrcia_grandifolia,Myrcia grandifolia Cambess.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880945*,,,MK157104*,MK175021*,MK182491*,MK202497*,,,Amorim et al. in press,,0,1
M_grazielae_BA_65,Myrcia_grazielae,Myrcia grazielae NicLugh.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880946*,,,MK157105*,MK175022*,,,,,Amorim et al. in press,,0,1
M_hartwegiana_SP_60,Myrcia_hartwegiana,Myrcia hartwegiana (O.Berg) Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091277,MH880947*,,,MK157106*,MK175023*,MK182492*,MK202498*,JN091352,,Amorim et al. in press,,1,1
M_hebepetala_199,Myrcia_hebepetala,Myrcia hebepetala DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489916,AM234111,,,AM48934,MK175024*,MK182493*,MK202499*,JN091353,,Amorim et al. in press,,1,1
M_ilheosensis_ES_84,Myrcia_ilheosensis,Myrcia ilheosensis Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880948*,,,MK157107*,MK175025*,MK182494*,MK202500*,,,Amorim et al. in press,,1,1
M_lughadhai_BA_114,Myrcia_lughadhai,Myrcia lughadhae B.S. Amorim,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880949*,,,MK157108*,,,,,,Amorim et al. in press,,1,0
M_macrocalyx_SP_105,Myrcia_macrocalyx,Myrcia congestiflora Caliari & V.C. Souza,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880938*,,,MK157097*,MK175010*,MK182483*,,,,Amorim et al. in press,,1,0
M_magnifolia_RJ_29,Myrcia_magnifolia,Myrcia magnifolia (O. Berg) Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880950*,,,MK157109*,MK175026*,MK182495*,,,,Amorim et al. in press,,0,1
M_mischophylla_MG_21,Myrcia_mischophylla,Myrcia mischophylla Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091283,MH880951*,,,MK157110*,MK175027*,,,JN091359,,Amorim et al. in press,,1,0
M_montana_MG_693,Myrcia_montana,Myrcia montana DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880952*,,,MK157111*,MK175028*,MK182496*,MK202501*,,,Amorim et al. in press,,1,1
M_palustris_RS_116,Myrcia_palustris,Myrcia palustris DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880955*,,,MK157114*,MK175032*,MK182501*,MK202504*,,,Amorim et al. in press,,0,1
M_pendulla_BA_15,Myrcia_pendulla,Myrcia pendula Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880956*,,,MK157115*,MK175033*,MK182502*,MK202505*,,,Amorim et al. in press,,0,1
M_pubescens_078,Myrcia_pubescens,Myrcia pubescens DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091285,JN091234,,,JN091425,MK175036*,MK182505*,MK202507*,JN091363,,Amorim et al. in press,,1,1
M_pulvinata_BA_31,Myrcia_pulvinata,Myrcia pulvinata B.S. Amorim,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880958*,,,MK157117*,MK175037*,MK182506*,MK202508*,,,Amorim et al. in press,,0,1
M_reticulata_RJ_87,Myrcia_reticulata,Myrcia reticulata Cambess.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880959*,,,MK157118*,MK175038*,MK182507*,MK202509*,,,Amorim et al. in press,,1,1
M_rosangelae_SE_51,Myrcia_rosangelae,Myrcia rosangelae NicLugh.,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880960*,,,MK157119*,MK175040*,MK182509*,MK202510*,,,Amorim et al. in press,,0,1
M_ruschii_ES_8,Myrcia_ruschii,Myrcia ruschii B.S. Amorim,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880961*,,,MK157120*,MK175042*,MK182510*,,,,Amorim et al. in press,,0,1
M_serrana_BA_58,Myrcia_serrana,Myrcia serrana B.S. Amorim,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880962*,,,MK157121*,MK175043*,MK182511*,MK202511*,,,Amorim et al. in press,,0,1
M_spBA_55,Myrcia_sp,Myrcia aff. unana Sobral,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880932*,,,MK157091*,MK175001*,MK182475*,MK202484*,,,Amorim et al. in press,,0,1
M_spectabilis_RJ_52,Myrcia_spectabilis,Myrcia spectabilis DC.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091292,MH880963*,,,MK157122*,MK175044*,MK182512*,MK202512*,JN091372,,Amorim et al. in press,,0,1
M_springiana_BA_17,Myrcia_springiana,Myrcia springiana O.Berg [BA],(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880964*,,,MK157123*,MK175045*,,MK202513*,,,Amorim et al. in press,,0,1
M_springiana_PE_57,x,Myrcia springiana O. Berg [PE],(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880965*,,,MK157124*,MK175046*,MK182513*,MK202514*,,,Amorim et al. in press,,(double entry),(double entry)
M_squamata_PR_113,Myrcia_squamata,Myrcia squamata (Mattos & D. Legrand) Matos,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880966*,,,MK157125*,MK175047*,,,,,Amorim et al. in press,,0,1
M_subsericea_RJ_89,Myrcia_subsericea,Myrcia subsericea A. Gray,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880967*,,,MK157126*,MK175048*,MK182514*,MK202515*,,,Amorim et al. in press,,0,1
M_thyrsoidea_BA_61,Myrcia_thyrsoidea,Myrcia thyrsoidea O. Berg,(BAMM analysis not performed),(BAMM analysis not performed),,,,MH880968*,,,MK157127*,MK175049*,MK182515*,MK202516*,,,Amorim et al. in press,,0,1
M_tijucensis_114,Myrcia_tijucensis,Myrcia tijucensis Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489915,MH880969*,,,MK157128*,MK175050*,MK182516*,MK202517*,JN091379,,Amorim et al. in press,,0,1
M_vittoriana_BA_30,Myrcia_vittoriana,Myrcia vittoriana Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091301,MH880970*,,,MK157129*,MK175052*,MK182518*,MK202518*,JN091385,,Amorim et al. in press,,0,1
Marlierea_affmontana,Marlierea_aff_montana,Myrcia aff. neomontana (Aubl.) E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722377,,KP722453,KP722285,,,KP722229,KP722333,,Amorim et al. in press,,0,1
Marlierea_affsubacuminata,Marlierea_aff_subacuminata,Marlierea aff. subacuminata Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722397,,KP722475,KP722305,,,KP722252,KP722355,,Amorim et al. in press,,0,1
Marlierea_caudata,Marlierea_caudata,Myrcia caudata (McVaugh) E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU164819,,,KU164845,,,KP722232,KU164870,,Amorim et al. in press,,0,1
Marlierea_clausseniana,Marlierea_clausseniana,Marlierea clausseniana (O.Berg) Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,,JN091202,,KU898344,JN091393,,,KU898504,JN091326,,Amorim et al. in press,,1,0
Marlierea_dimorpha,Marlierea_dimorpha,Myrcia neodimorpha (O.Berg) E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722416,,KP722494,KP722324,,,KP722271,KP722374,,Amorim et al. in press,,0,1
Marlierea_eugeniopsoides,Marlierea_eugeniopsoides,Myrcia eugeniopsoides (D.Legrand & Kausel) Mazine,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489928,AM234107,AM489996,KP722429,AM489845,MF954359,MF954257,KP722205,JN091327,,Amorim et al. in press,,0,1
Marlierea_excoriata,Marlierea_excoriata,Myrcia excoriata (Mart.) E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091254,JN091203,,KP722449,JN091394,,,KP722226,JN091328,,Amorim et al. in press,,1,1
Marlierea_glabra,Marlierea_glabra,Myrcia neoglabra E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722391,,KP722469,KP722299,MK175029*,MK182498*,KP722245,KP722349,,Amorim et al. in press,,0,1
Marlierea_glazioviana,Marlierea_glazioviana,Marlierea glazioviana Kiaersk.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091255,JN091204,,KP722451,JN091395,MK174995*,MK182470*,KP722275,JN091329,,Amorim et al. in press,,0,1
Marlierea_mcvaughii,Marlierea_mcvaughii,Myrcia mcvaughii (B. Holst) E. Lucas & C.E. Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898333,,KU898391,KU898441,,,KU898547,KU898496,,Amorim et al. in press,,0,1
Marlierea_neuwiedeana,Marlierea_neuwiedeana,Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722402,,KP722480,KP722310,,,KP698774,KP722360,,Amorim et al. in press,,0,1
Marlierea_obscura,Marlierea_obscura,Myrcia neoobscura (O.Berg) E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091256,JN091205,,KP722452,JN091396,,,KP722228,JN091330,,Amorim et al. in press,,1,1
Marlierea_obversa,Marlierea_obversa,Myrcia obversa (D.Legrand) E.Lucas & C.E.Wilson,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091257,JN091206,,KP722450,JN091397,,,KP722227,JN091331,,Amorim et al. in press,,0,1
Marlierea_regeliana,Marlierea_regeliana,Myrcia neoregeliana E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091259,JN091208,,KP722448,JN091399,,,KP722225,JN091333,,Amorim et al. in press,,0,1
Marlierea_riedeliana,Marlierea_riedeliana,Myrcia neoriedeliana E.Lucas & C.E.Wilson,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489930,AM234109,AM489997,KP722432,AM489847,,,KP722208,KP722330,,Amorim et al. in press,,0,1
Marlierea_rubiginosa,Marlierea_rubiginosa,Marlierea rubiginosa (Cambess.) D. Legrand,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898292,,KU898349,KU898396,,,KU898507,KU898451,,Amorim et al. in press,,1,0
Marlierea_sp_Harms_20,Marlierea_sp_Harms_20,Myrcia sp. [Harms 20],(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898323,,KU898382,KU898431,,,KU898540,KU898486,,Amorim et al. in press,,0,1
Marlierea_suaveolens,Marlierea_suaveolens,Myrcia neosuaveolens E.Lucas & C.E.Wilson,(BAMM analysis not performed),(BAMM analysis not performed),,,AM489929,AM234108,,KP722431,AM489846,,,KP722207,KP722329,,Amorim et al. in press,,0,1
Marlierea_sucrei,Marlierea_sucrei,Myrcia sucrei (G.M.Barroso & Peixoto) E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091260,JN091209,,KP722445,JN091400,,,KP722222,JN091335,,Amorim et al. in press,,0,1
Marlierea_teuscheriana,Marlierea_teuscheriana,Marlierea teuscheriana (O. Berg.) D. Legrand,(BAMM analysis not performed),(BAMM analysis not performed),,,,KU898332,,KU898390,KU898440,,,KP722280,KU898495,,Amorim et al. in press,,0,1
Marlierea_tomentosa,Marlierea_tomentosa,Myrcia neotomentosa E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,JN091261,JN091210,,,JN091401,MK175030*,MK182499*,KP722224,JN091336,,Amorim et al. in press,,0,1
Marlierea_umbraticola,Marlierea_umbraticola,Myrcia umbraticola (Kunth) E.Lucas & C.E.Wilson ,(BAMM analysis not performed),(BAMM analysis not performed),,,,KP722392,,KP722470,KP722300,MF954350,MF954230,KP722246,KP722350,,Amorim et al. in press,,0,1
Mitranthes_claredonensis,Mitranthes_claredonensis,Mitranthes clarendonensis (Proctor) Proctor,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954049,,MF954482,MF954307,MF954352,,MF954110,MF954170,,Amorim et al. in press,,0,1
Mitranthes_glabra,Mitranthes_glabra,Mitranthes glabra Proctor,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954050,,MF954483,MF954308,MF954353,MF954232,MF954111,MF954171,,Amorim et al. in press,,0,1
Myrceugenia_alpigena,x,Myrceugenia alpigena (DC.) Landrum,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660842,AM234098,JN660991,KP722441,AM489854,JN660941.,JN661040,JN661090,KP722376,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_bananalensis,x,Myrceugenia bananalensis Bezerra & Landrum,(BAMM analysis not performed),(BAMM analysis not performed),,,,MF954052,,MF954485,MF954389,MF954355,MF954253,MF954112,MF954173,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_brevipedicellata,x,Myrceugenia brevipedicellata (Burret) D. Legrand & Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660844,JN660894,JN660993,,,JN660943,JN661042,JN661092,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_campestris,x,Myrceugenia campestris (DC.) D. Legrand & Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660845,JN660895,JN660994,,,JN660944,JN661043,JN661093,,,Amorim et al. in press,,(outgroup),(outgroup)
Myrceugenia_chrysocarpa,x,Myrceugenia chrysocarpa (O. Berg) Kausel,(BAMM analysis not performed),(BAMM analysis not performed),,,JN660846,JN660896,JN660995,,,JN660945,JN661044,JN661094,,,Amorim et al. in press,,(outgroup),(outgroup)
