hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),ETS,psba,rps16,trnDT,,Reference,,,campo_rupestre,non_campo_rupestre
Ditassa_ditassoides,(double entry),Minaria ditassoides (Silveira) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,,,,AJ704476.1,,Ditassa ditassoides chloroplast partial rps16 intron,"Ribeiro et al. 2012, 2014",,,(double entry),(double entry)
Ditassa_fasciculata,Ditassa_fasciculata,Ditassa fasciculata E.Fourn.,(BAMM analysis not performed),(BAMM analysis not performed),,JN872664.1,JN805914.1,JN574576.1,JN574492.1,,"Ditassa fasciculata ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Ditassa_hispida,Ditassa_hispida,Ditassa hispida (Vell.) Fontella,(BAMM analysis not performed),(BAMM analysis not performed),,JN872665.1,JN805916.1,,AJ704477.1,JN574526.1,Ditassa hispida chloroplast partial rps16 intron,"Ribeiro et al. 2012, 2014",,,0,1
Ditassa_magisteriana,(double entry),Minaria magisteriana (Rapini) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,,,,AJ704482.1,,Ditassa magisteriana chloroplast partial rps16 intron,"Ribeiro et al. 2012, 2014",,,(double entry),(double entry)
Ditassa_micromeria,(double entry),Minaria micromeria (Decne.) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,,,,AJ704225.1,,Ditassa micromeria chloroplast partial rps16 gene intron,"Ribeiro et al. 2012, 2014",,,(double entry),(double entry)
Hemipogon_abietoides,Hemipogon_abietoides,Hemipogon abietoides E.Fourn.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN805922.1,JN574584.1,JN574495.1,JN574532.1,"Hemipogon abietoides ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Hemipogon_acerosus,Hemipogon_acerosus,Hemipogon acerosus Decne.,(BAMM analysis not performed),(BAMM analysis not performed),,JN872666.1,JN805923.1,JN574585.1,AJ704288.1,JN574533.1,Hemipogon acerosus chloroplast partial rps16 gene intron,"Ribeiro et al. 2012, 2014",,,1,1
Hemipogon_carassensis,Hemipogon_carassensis,Hemipogon carassensis (Malme) Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,,JN805924.1,JN574586.1,JN574496.1,JN574534.1,"Hemipogon carassensis ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,1
Hemipogon_harleyi,Hemipogon_harleyi,Minaria volubilis Rapini & U.C.S.Silva,(BAMM analysis not performed),(BAMM analysis not performed),,JN872667.1,JN805925.1,JN574587.1,JN574497.1,,"Hemipogon harleyi ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Hemipogon_hatschbachii,Hemipogon_hatschbachii,Hemipogon hatschbachii (Fontella & Marquete) Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,,JN805926.1,JN574588.1,JN574498.1,,"Hemipogon hatschbachii ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Hemipogon_hemipogonoides,Hemipogon_hemipogonoides,Hemipogon hemipogonoides (Malme) Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,,JN805927.1,JN574589.1,JN574499.1,JN574536.1,"Hemipogon hemipogonoides ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Hemipogon_luteus,Hemipogon_luteus,Hemipogon luteus E.Fourn.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN805928.1,,AJ704489.1,,Hemipogon luteus chloroplast partial rps16 intron,"Ribeiro et al. 2012, 2014",,,1,0
Hemipogon_sprucei,Hemipogon_sprucei,Hemipogon sprucei E.Fourn.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN805929.1,JN574590.1,AJ704296.1,JN574537.1,Hemipogon sprucei chloroplast partial rps16 gene intron,"Ribeiro et al. 2012, 2014",,,0,1
Minaria_abortiva,Minaria_abortiva,Minaria abortiva (Silveira) Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872668.1,JN872689.1,JN872717.1,JN872699.1,,"Minaria abortiva voucher Ribeiro 300 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,1
Minaria_acerosa,Minaria_acerosa,Minaria acerosa (Mart.) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872669.1,JN805938.1,JN574601.1,JN872700.1,JN574545.1,"Minaria acerosa voucher Ribeiro 183 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,1
Minaria_campanuliflora,Minaria_campanuliflora,Minaria campanuliflora Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872670.1,JN872690.1,JN872718.1,JN872701.1,,"Minaria campanuliflora voucher Azevedo 339 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Minaria_cordata_Ribeiro113,(double entry),Minaria cordata (Turcz.) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872671.1,JN872691.1,JN872719.1,JN872702.1,,"Minaria cordata voucher Ribeiro 113 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,(double entry),(double entry)
Minaria_cordata_Ribeiro341,Minaria_cordata,Minaria cordata (Turcz.) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872672.1,JN872692.1,JN872720.1,JN872703.1,,"Minaria cordata voucher Ribeiro 341 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,1
Minaria_cordata_Ribeiro398,(double entry),Minaria cordata (Turcz.) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872673.1,,JN872721.1,JN872704.1,,"Minaria cordata voucher Ribeiro 398 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,(double entry),(double entry)
Minaria_decussata,(double entry),Minaria decussata (Mart.) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872674.1,JN805939.1,JN574602.1,,JN574546.1,"Minaria decussata psbA-trnH intergenic spacer, partial sequence; chloroplast","Ribeiro et al. 2012, 2014",,,(double entry),(double entry)
Minaria_diamantinensis,Minaria_diamantinensis,Minaria diamantinensis (Fontella) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872675.1,JN872693.1,JN872722.1,JN872705.1,,"Minaria diamantinensis voucher Ribeiro 218 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Minaria_ditassoides,Minaria_ditassoides,Minaria ditassoides (Silveira) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872676.1,JN805940.1,JN574603.1,,JN574547.1,"Minaria ditassoides psbA-trnH intergenic spacer, partial sequence; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Minaria_grazielae,Minaria_grazielae,Minaria grazielae (Fontella & Marquete) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872677.1,JN805941.1,JN574604.1,AJ699339.1,JN574548.1,"Minaria grazielae chloroplast rps16 gene for ribosomal protein S16, intron","Ribeiro et al. 2012, 2014",,,1,0
Minaria_hemipogonoides,Minaria_hemipogonoides,Minaria hemipogonoides (E.Fourn.) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872678.1,JN872694.1,JN872723.1,JN872706.1,,"Minaria hemipogonoides voucher Rapini 1770 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Minaria_lourteigiae,Minaria_lourteigiae,Minaria lourteigiae (Fontella) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872679.1,JN872695.1,JN872724.1,JN872707.1,,"Minaria lourteigiae voucher Ribeiro 197 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Minaria_magisteriana,Minaria_magisteriana,Minaria magisteriana (Rapini) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872680.1,JN805942.1,,,JN574549.1,,"Ribeiro et al. 2012, 2014",,,1,0
Minaria_micromeria,Minaria_micromeria,Minaria micromeria (Decne.) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872681.1,JN805943.1,JN574606.1 2,,,"Minaria micromeria psbA-trnH intergenic spacer, partial sequence; chloroplast","Ribeiro et al. 2012, 2014",,,1,1
Minaria_parva,Minaria_parva,Minaria parva (Silveira) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872682.1,JN872696.1,JN872725.1,JN872708.1,,"Minaria parva voucher Ribeiro 188 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Minaria_polygaloides,Minaria_polygaloides,Minaria polygaloides (Silveira) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872684.1,JN805944.1,JN574607.1,JN574506.1,JN574550.1,"Minaria polygaloides ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Minaria_refractifolia,Minaria_refractifolia,Minaria refractifolia (K.Schum.) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872683.1,JN872697.1,JN872726.1,JN872709.1,,"Minaria refractifolia voucher Ribeiro 225 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Minaria_semirii,Minaria_semirii,Minaria semirii (Fontella) T.U.P.Konno & Rapini,(BAMM analysis not performed),(BAMM analysis not performed),,JN872685.1,JN872698.1,JN872727.1,JN872710.1,,"Minaria semirii voucher Ribeiro 336 ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Nephradenia_acerosa,Nephradenia_acerosa,Nephradenia acerosa Decne.,(BAMM analysis not performed),(BAMM analysis not performed),,JN872686.1,JN805945.1,JN574609.1,AJ704496.1,JN574551.1,Nephradenia acerosa chloroplast partial rps16 intron,"Ribeiro et al. 2012, 2014",,,1,1
Nephradenia_asparagoides,Nephradenia_asparagoides,Nephradenia asparagoides (Decne.) E.Fourn.,(BAMM analysis not performed),(BAMM analysis not performed),,JN872687.1,JN805946.1,JN574610.1,JN574507.1,JN574552.1,"Nephradenia asparagoides ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,1,0
Nephradenia_filipes,Nephradenia_filipes,Nephradenia filipes Malme,(BAMM analysis not performed),(BAMM analysis not performed),,JN872688.1,JN805947.1,JN574611.1,JN574508.1,JN574553.1,"Nephradenia filipes ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,0,1
Petalostelma_martianum,Petalostelma_martianum,Petalostelma martianum (Decne.) E.Fourn.,(BAMM analysis not performed),(BAMM analysis not performed),,,JN805950.1,JN574614.1,JN574509.1,,"Petalostelma martianum ribosomal protein S16 (rps16) gene, intron; chloroplast","Ribeiro et al. 2012, 2014",,,0,1
